"","WEEK_OPEN","YEAR_OPEN","count"
"152","16","2006",2
"153","16","2007",2
"154","16","2008",2
"155","16","2010",6
"156","16","2011",4
"157","16","2012",10
"158","16","2013",47
"159","16","2014",103
"160","16","2015",89
"161","16","2016",105
"162","17","2006",1
"163","17","2007",6
"164","17","2008",2
"165","17","2009",4
"166","17","2010",1
"167","17","2011",3
"168","17","2012",11
"169","17","2013",50
"170","17","2014",170
"171","17","2015",121
"172","17","2016",75
"173","18","2008",2
"174","18","2010",2
"175","18","2011",5
"176","18","2012",6
"177","18","2013",57
"178","18","2014",111
"179","18","2015",110
"180","18","2016",131
"181","19","1997",1
"182","19","2003",1
"183","19","2009",1
"184","19","2010",11
"185","19","2011",1
"186","19","2012",8
"187","19","2013",46
"188","19","2014",135
"189","19","2015",156
"190","19","2016",90
"191","20","2007",3
"192","20","2008",1
"193","20","2009",2
"194","20","2010",4
"195","20","2011",5
"196","20","2012",6
"197","20","2013",66
"198","20","2014",96
"199","20","2015",125
"200","20","2016",94
"201","21","2010",17
"202","21","2011",6
"203","21","2012",10
"204","21","2013",37
"205","21","2014",114
"206","21","2015",110
"207","21","2016",105
"208","22","1997",2
"209","22","2006",1
"210","22","2007",2
"211","22","2008",2
"212","22","2009",1
"213","22","2010",9
"214","22","2011",2
"215","22","2012",6
"216","22","2013",53
"217","22","2014",120
"218","22","2015",156
"219","22","2016",103
"220","23","1996",1
"221","23","1997",1
"222","23","2006",1
"223","23","2007",1
"224","23","2008",2
"225","23","2009",2
"226","23","2010",4
"227","23","2011",3
"228","23","2012",16
"229","23","2013",102
"230","23","2014",164
"231","23","2015",116
"232","23","2016",87
"233","24","1998",1
"234","24","2002",1
"235","24","2006",1
"236","24","2007",1
"237","24","2009",1
"238","24","2010",4
"239","24","2011",3
"240","24","2012",10
"241","24","2013",77
"242","24","2014",195
"243","24","2015",141
"244","24","2016",106
"245","25","2010",5
"246","25","2011",4
"247","25","2012",3
"248","25","2013",83
"249","25","2014",101
"250","25","2015",124
"251","26","2005",1
"252","26","2006",1
"253","26","2007",1
"254","26","2008",2
"255","26","2009",2
"256","26","2010",1
"257","26","2011",5
"258","26","2012",13
"259","26","2013",125
"260","26","2014",144
"261","26","2015",157
"262","27","2005",1
"263","27","2006",1
"264","27","2009",1
"265","27","2010",3
"266","27","2011",5
"267","27","2012",7
"268","27","2013",100
"269","27","2014",196
"270","27","2015",113
"271","28","2003",1
"272","28","2007",1
"273","28","2008",1
"274","28","2009",3
"275","28","2010",3
"276","28","2011",7
"277","28","2012",5
"278","28","2013",152
"279","28","2014",116
"280","28","2015",137
"281","29","2005",1
"282","29","2008",1
"283","29","2009",3
"284","29","2010",2
"285","29","2011",5
"286","29","2012",8
"287","29","2013",128
"288","29","2014",133
"289","29","2015",120
"290","30","2003",1
"291","30","2005",1
"292","30","2008",1
"293","30","2009",4
"294","30","2011",3
"295","30","2012",4
"296","30","2013",74
"297","30","2014",116
"298","30","2015",90
"299","31","2003",1
"300","31","2004",2
"301","31","2005",1
"302","31","2006",1
"303","31","2008",1
"304","31","2009",2
"305","31","2010",3
"306","31","2011",13
"307","31","2012",7
"308","31","2013",162
"309","31","2014",139
"310","31","2015",107
"311","32","2005",1
"312","32","2007",1
"313","32","2008",1
"314","32","2009",2
"315","32","2010",3
"316","32","2011",6
"317","32","2012",4
"318","32","2013",107
"319","32","2014",130
"320","32","2015",96
"321","33","2006",1
"322","33","2008",2
"323","33","2009",2
"324","33","2010",3
"325","33","2011",7
"326","33","2012",11
"327","33","2013",147
"328","33","2014",149
"329","33","2015",124
"330","34","1999",1
"331","34","2001",1
"332","34","2007",1
"333","34","2008",2
"334","34","2009",1
"335","34","2010",3
"336","34","2011",8
"337","34","2012",12
"338","34","2013",81
"339","34","2014",108
"340","34","2015",149
"341","35","2005",1
"342","35","2007",1
"343","35","2008",2
"344","35","2009",1
"345","35","2011",7
"346","35","2012",16
"347","35","2013",80
"348","35","2014",67
"349","35","2015",114
"350","36","2006",2
"351","36","2008",1
"352","36","2009",2
"353","36","2010",6
"354","36","2011",2
"355","36","2012",5
"356","36","2013",179
"357","36","2014",100
"358","36","2015",78
"359","37","2004",1
"360","37","2006",1
"361","37","2007",3
"362","37","2009",1
"363","37","2010",4
"364","37","2011",5
"365","37","2012",13
"366","37","2013",141
"367","37","2014",161
"368","37","2015",116
"369","38","2007",1
"370","38","2008",2
"371","38","2009",5
"372","38","2010",1
"373","38","2011",2
"374","38","2012",10
"375","38","2013",127
"376","38","2014",97
"377","38","2015",96
"378","39","2008",1
"379","39","2009",1
"380","39","2010",16
"381","39","2011",5
"382","39","2012",11
"383","39","2013",110
"384","39","2014",132
"385","39","2015",106
"386","40","2006",1
"387","40","2007",2
"388","40","2008",4
"389","40","2009",8
"390","40","2010",3
"391","40","2011",6
"392","40","2012",16
"393","40","2013",133
"394","40","2014",41
"395","40","2015",75
"396","41","2004",1
"397","41","2006",1
"398","41","2007",1
"399","41","2008",6
"400","41","2009",2
"401","41","2010",3
"402","41","2011",7
"403","41","2012",9
"404","41","2013",131
"405","41","2014",144
"406","41","2015",101
"407","42","2001",3
"408","42","2005",1
"409","42","2008",1
"410","42","2009",3
"411","42","2010",4
"412","42","2011",9
"413","42","2012",12
"414","42","2013",114
"415","42","2014",133
"416","42","2015",116
"417","43","2003",1
"418","43","2005",1
"419","43","2006",1
"420","43","2007",2
"421","43","2009",3
"422","43","2010",6
"423","43","2011",3
"424","43","2012",19
"425","43","2013",97
"426","43","2014",142
"427","43","2015",92
"428","44","2008",10
"429","44","2009",2
"430","44","2010",7
"431","44","2011",8
"432","44","2012",13
"433","44","2013",78
"434","44","2014",84
"435","44","2015",109
"436","45","2005",1
"437","45","2006",2
"438","45","2009",2
"439","45","2010",4
"440","45","2011",6
"441","45","2012",13
"442","45","2013",192
"443","45","2014",69
"444","45","2015",112
"445","46","2006",1
"446","46","2008",1
"447","46","2009",4
"448","46","2010",3
"449","46","2011",11
"450","46","2012",11
"451","46","2013",192
"452","46","2014",110
"453","46","2015",59
"454","47","2007",2
"455","47","2009",1
"456","47","2010",2
"457","47","2011",2
"458","47","2012",3
"459","47","2013",71
"460","47","2014",83
"461","47","2015",46
"462","48","2006",11
"463","48","2008",3
"464","48","2009",3
"465","48","2010",2
"466","48","2011",7
"467","48","2012",17
"468","48","2013",144
"469","48","2014",147
"470","48","2015",88
"471","49","2004",1
"472","49","2005",1
"473","49","2006",1
"474","49","2008",2
"475","49","2009",2
"476","49","2010",4
"477","49","2011",4
"478","49","2012",18
"479","49","2013",105
"480","49","2014",110
"481","49","2015",53
"482","50","2005",1
"483","50","2006",1
"484","50","2007",4
"485","50","2008",5
"486","50","2009",1
"487","50","2010",2
"488","50","2011",6
"489","50","2012",12
"490","50","2013",98
"491","50","2014",79
"492","50","2015",57
"493","51","2008",1
"494","51","2009",1
"495","51","2010",1
"496","51","2011",10
"497","51","2012",12
"498","51","2013",45
"499","51","2014",33
"500","51","2015",43
"501","52","2012",7
"502","52","2013",25
"503","52","2014",28
"504","52","2015",6
